Year,State,Smoke everyday,Smoke some days,Former smoker,Never smoked
1997,Utah,11.1,2.6,17.2,69.0
1998,Utah,10.5,3.7,18.7,67.1
1999,Utah,10.3,3.7,17.3,68.8
2000,Utah,9.6,3.3,18.4,68.8
2001,Utah,9.1,4.1,17.1,69.7
2002,Utah,9.9,2.8,17.1,70.1
2003,Utah,8.6,3.3,16.6,71.5
2004,Utah,7.8,2.7,15.8,73.8
2005,Utah,8.5,3.0,16.0,72.5
2006,Utah,7.1,2.7,16.6,73.6
2007,Utah,8.3,3.4,15.8,72.5
2008,Utah,6.8,2.5,16.1,74.5
2009,Utah,6.9,2.9,15.1,75.1
2010,Utah,6.4,2.7,14.3,76.6
